CLASSTYPE,COURSECODES,DAYTIME,MODULECODE,ROOMID,STUDENTIDS,TEACHERID
Lab,lm121,1_09,et4011,cs1044,"1233,1234,1235",437
Lecture,lm121,1_12,et4011,ad2010,"1233,1234,1235",437
Lecture,lm121,1_15,cs4013,b1023,"1233,1234,1235",432
Lab,lm121,2_09,cs4141,cs1044,"1233,1234,1235",435
Lecture,lm121,2_11,et4011,ad2010,"1233,1234,1235",437
Lecture,lm121,2_13,cs4013,b1023,"1233,1234,1235",432
Lecture,lm121,2_14,cs4221,ad2010,"1233,1234,1235",436
Lecture,lm051,1_10,cs4178,hsg037,"1237,1238,1239",440
Lab,lm051,1_14,cs4416,dg016,"1237,1238,1239",439
Lecture,lm051,4_09,cs4023,hsg037,"1237,1238,1239",434
